,xC,yC,GD,stdGD,mammalTaxa,mammalSeqs,meanSeqs,Dist,PD,nTaxa,GlobalExtreme_prTrendExt,GlobalExtreme_prVarExt,GlobalExtreme_tsTrendExt,GlobalExtreme_tsVarExt,kk10,HFP2009,GDsqrt,TaxonComplete
315,-2.0000096869685997,54.80947996752619,0.004460990584199448,0.0035705885797883592,6,160.0,26.666666666666668,157.27963766846767,1529.5659100399998,42,0.0002981620782520622,0.18188343942165372,0.007690345868468285,1.2190674543380735,-2610.201646090535,22.076585707776548,0.06679064743060549,0.13953488372093023
316,1.999990095346709,54.80947996752619,0.004330721599340024,0.003566792890524779,5,21.0,4.2,32.35344753427658,1276.23167773,34,0.0003741661785170436,0.1649918407201767,0.006123823579400778,1.1555191278457642,-2137.1111111111113,23.886021928446308,0.06580821832674111,0.14705882352941177
317,5.999989877662016,54.80947996752619,0.006113130674534183,0.003961992816655992,3,14.0,4.666666666666667,68.61089153617121,1622.4152390999996,49,0.000369317625882104,0.15562839806079865,0.005571081303060055,1.1623598337173462,-3938.414201183432,16.827218817596385,0.07818651210109186,0.061224489795918366
318,9.999989659977325,54.80947996752619,0.004885617294656535,0.0029432314536603087,8,73.0,9.125,118.93810522282185,1918.5458743999995,61,0.00033617691951803863,0.1521635353565216,0.005429865326732397,1.18104887008667,-4987.336434108527,16.190772913599528,0.06989719089245673,0.13114754098360656
319,13.999989442292634,54.8094799675262,0.011079012553004754,0.011888224964596836,6,70.0,11.666666666666666,115.19223807542487,1869.8977573699997,61,0.0003537294687703252,0.14927938580513,0.005162179935723543,1.1865662336349487,-4580.242263056093,13.507718925260887,0.10525688838743408,0.09836065573770492
320,17.999989224607944,54.8094799675262,0.006931404542181514,0.0023357632196976037,4,91.0,22.75,123.84944098855968,1817.5643192499997,59,0.00037711742334067816,0.14670269191265106,0.0049775135703384885,1.2037132978439329,-2228.710851648352,15.684038686937086,0.08325505715679687,0.06779661016949153
321,21.99998900692325,54.8094799675262,0.0047734149612324635,0.004649799878126621,10,142.0,14.2,56.0413563317599,1929.3742438499996,65,0.0004134154005441815,0.14830593764781952,0.004588981624692679,1.2147594690322876,-1437.5871632329636,12.775176441511194,0.06908990491549734,0.15384615384615385
322,25.999988789238557,54.8094799675262,0.0065419546683730895,0.006319883778039764,3,21.0,7.0,107.94834530582865,2000.2608159399997,68,0.0004728474887087941,0.1538817584514618,0.004352327901870011,1.22951340675354,-1451.2276609724047,10.920301706481792,0.0808823507841673,0.04411764705882353
323,29.99998857155387,54.8094799675262,0.007265719591697799,0.0,1,3.0,3.0,0.0,2023.39937878,70,0.0005014227936044335,0.1567276567220688,0.004180027637630701,1.2499369382858276,-2711.917290784761,9.420339636918463,0.08523919046833914,0.014285714285714285
324,33.99998835386917,54.8094799675262,0.00485520189924707,0.00035069739474256553,2,6.0,3.0,103.15634243993206,2074.57287304,73,0.00048467444139532745,0.15761061012744906,0.003670723875984549,1.2775882482528689,-1502.9491027732465,8.962428285081344,0.06967927883701919,0.0273972602739726
325,37.99998813618448,54.8094799675262,0.004881761245902325,0.005589304375340876,8,37.0,4.625,77.22005845681761,2101.38965127,74,0.00045123064774088567,0.15551818907260895,0.003176049329340458,1.3039257526397705,-1599.2530199151156,14.444247915315678,0.06986960172995353,0.10810810810810811
326,41.999987918499784,54.8094799675262,0.006263206840929086,0.004629061550251868,3,8.0,2.6666666666666665,79.20985224264409,2134.71173439,76,0.0004116490308661014,0.15246839821338656,0.003179556457325816,1.3178186416625977,-1372.87890625,12.003556541233056,0.07914042482151007,0.039473684210526314
327,45.999987700815105,54.8094799675262,0.01349246418939558,0.010260504931744562,2,16.0,8.0,0.0,2139.2980433999996,78,0.00040701826219446957,0.14889542758464813,0.003143491456285119,1.305369257926941,-983.5272075594656,11.322290695906752,0.11615706689390698,0.02564102564102564
328,49.9999874831304,54.8094799675262,0.003502692628010294,0.0012479011962177348,2,5.0,2.5,0.0,2190.78961012,79,0.00035651985672302544,0.14524023234844208,0.0032437390182167287,1.280127763748169,-668.1001675041878,12.077254492917787,0.05918355031603202,0.02531645569620253
329,53.99998726544572,54.8094799675262,0.002137336021325588,0.0011064081862740417,2,6.0,3.0,0.0,2057.1284832999995,69,0.0002876777143683284,0.13846594095230105,0.0033152985852211714,1.2541327476501465,-759.4228515625,12.172015706348946,0.04623133159801465,0.028985507246376812
330,57.99998704776102,54.8094799675262,0.022776572668112796,0.0,1,4.0,4.0,0.0,2083.09435073,73,0.0002471623884048313,0.1353340744972229,0.003223512321710586,1.2350163459777832,-613.8427734375,8.04416387089227,0.1509190931198329,0.0136986301369863
331,61.99998683007632,54.8094799675262,0.008488609351673351,0.013144660897757775,6,26.0,4.333333333333333,52.13334142778674,1943.5624739199995,66,0.00022402538161259145,0.1300709992647171,0.002894004108384252,1.2242552042007446,-747.4815419797452,11.905822860539214,0.09213364939951826,0.09090909090909091
332,65.99998661239161,54.8094799675262,0.003164799754488261,0.00122116515779244,2,5.0,2.5,0.0,1966.8499763199998,69,0.00020412128651514652,0.12389106303453445,0.002716755960136652,1.226457118988037,-589.5392380332139,10.41237595474614,0.05625655299152501,0.029411764705882353
334,73.99998617702225,54.8094799675262,0.015265375710345976,0.01882387123056586,3,20.0,6.666666666666667,61.83481261282686,1902.0248553,65,0.00019303144654259086,0.11286910623311995,0.0026554099749773736,1.2144393920898438,-271.2215705441512,10.07724431720483,0.12355312909977624,0.046153846153846156
335,77.99998595933755,54.8094799675262,0.003149606299212599,0.0,1,11.0,11.0,0.41188514712633084,2060.5100905199997,70,0.00020722717454191297,0.11319852620363235,0.002520783105865121,1.1945992708206177,-218.40335857754363,8.588304781108151,0.05612135332663138,0.014285714285714285
336,81.99998574165286,54.8094799675262,0.007860929371838944,0.014860587091038248,11,37.0,3.3636363636363638,0.0,2050.3230653799997,73,0.00021371258480940011,0.11869347840547563,0.0023463706020265818,1.1537832021713257,-97.69363784665579,9.038382990499551,0.08866188229357047,0.1506849315068493
337,85.99998552396816,54.80947996752619,0.0017936197398906756,0.0014807614108280527,3,7.0,2.3333333333333335,19.76245445100562,2039.2908039999998,75,0.00020074435451533645,0.1202787533402443,0.0022350037470459942,1.1150760650634766,-100.1689453125,8.206630241570537,0.04235114803509671,0.04054054054054054
338,89.9999853062835,54.80947996752619,0.0009477981918926802,0.0009477981918926802,2,6.0,3.0,0.0,1946.0717893799997,76,0.00020338378089945763,0.12194473296403885,0.0020760362967848773,1.0731796026229858,-466.4453125,4.140200092540798,0.030786331250941223,0.02666666666666667
339,93.9999850885988,54.80947996752619,0.0069578140249204525,0.0050637917671666755,8,67.0,8.375,28.624347041135014,1930.9396512199996,74,0.0002091034984914586,0.1203247681260109,0.0019534868188202377,1.0368456840515137,-287.6969401041667,3.3068655947517533,0.08341351224424286,0.1095890410958904
341,101.99998465322943,54.80947996752619,0.004093567251461989,0.0,1,3.0,3.0,0.0,1972.8692175499998,71,0.00019195587083231655,0.11908874660730362,0.0018806494772434235,0.9749699234962464,-35.128255208333336,3.213438072399541,0.06398099132915955,0.014285714285714285
342,105.99998443554475,54.80947996752619,0.003744827184239669,0.003744827184239669,2,10.0,5.0,0.0,1929.1076668199994,68,0.00018221403297502548,0.1122170314192772,0.0021315962076187134,0.9458335041999816,-13.571476850287258,1.617637164695871,0.06119499313048143,0.029411764705882353
343,109.9999842178601,54.80947996752619,0.005571030640668524,0.0,1,2.0,2.0,0.0,1997.3839119299994,68,0.0001722476881695911,0.11075126379728316,0.0024536943528801203,0.9144092202186584,-1.0951699463327371,0.6871207807706758,0.0746393370862076,0.014705882352941176
